SpecimenID,Replicates,S,Structure,F,Filter,Rep,ParticleSize_nm,Penetration_pct
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,30,0.924528
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,40,2.241129
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,60,7.002565
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,80,8.617211
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,150,14.626644
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,250,12.586567
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,300,10.950826
S2F3_R2,S2F32,2,Four-layer knit,3,Glass fiber,2,400,7.874665
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,30,1.16398
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,40,2.735484
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,60,7.093556
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,80,11.659544
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,150,16.264111
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,250,13.667813
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,300,11.718849
S2F3_R3,S2F33,2,Four-layer knit,3,Glass fiber,3,400,8.391026
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,30,0.939061
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,40,2.271877
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,60,7.035967
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,80,8.570086
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,150,14.999649
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,250,12.718878
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,300,10.931854
S2F3_R4,S2F34,2,Four-layer knit,3,Glass fiber,4,400,7.929604
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,30,0.96913
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,40,2.325668
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,60,7.168455
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,80,8.700693
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,150,15.002712
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,250,12.770223
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,300,10.971619
S2F3_R5,S2F35,2,Four-layer knit,3,Glass fiber,5,400,7.956109
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,30,15.32594
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,40,21.041917
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,60,32.141428
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,80,37.642438
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,150,52.792862
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,250,55.656693
S3F1_R1,S3F11,3,Two-layer woven,1,Activated carbon,1,300,60.526044
