Specimen_ID,qf_30,qf_40,qf_60,qf_80,qf_150,qf_250,qf_300,qf_400,,,,
S3F3_R3,10.41545502,9.73819057,8.151265039,7.3583571,6.270734871,6.431306223,6.743804806,7.41699844,,,,
S3F3_R4,10.50712695,9.828501202,8.382948437,7.676122602,6.564749649,6.907736715,7.23126275,7.934344287,,,,
S3F3_R5,12.52773774,10.58526442,8.28517505,7.438767741,6.338522777,6.690488852,7.056151465,7.95012225,,,,
S4F1_R1,40.19908963,31.80154531,20.05814681,14.41611573,9.314165911,4.045015419,4.792589105,5.288272856,,,,
S4F1_R2,46.5879608,37.2875195,24.73353977,18.78183524,10.55360616,4.875618757,8.137452429,6.615824836,,,,
S4F1_R3,48.60968106,39.5452189,25.79788754,21.20814985,12.56486723,6.641491135,10.15073208,6.385400589,,,,
S4F1_R4,50.93786697,40.93280936,28.91422171,19.49952173,14.31043739,7.404330325,6.114914186,7.02471918,,,,
S4F1_R5,53.18311,41.7203324,27.03139293,20.7797333,11.86504957,9.982411564,1.451381262,6.410206747,,,,
S4F2_R1,31.26108452,28.19462571,27.17486287,28.45433569,31.70128694,32.60050098,32.27220451,30.77624645,,,,
S4F2_R2,33.50212259,30.79702,30.39758114,31.54768827,34.99604192,35.85896946,35.6943618,34.28993566,,,,
S4F2_R3,33.42692474,30.06379586,28.88304416,29.97562178,33.5680927,34.99931608,34.78639625,33.26542131,,,,
S4F2_R4,33.23169825,30.33416663,29.83369891,31.08798966,34.53825651,35.29861127,35.07648306,33.52439646,,,,
S4F2_R5,31.22781349,28.56216302,28.01711049,28.99796602,32.14454688,33.17083232,32.89670723,31.43799286,,,,
S4F3_R1,25.48180867,20.74305794,14.88904526,12.74185877,10.50775095,12.1313414,13.16439743,15.33061084,,,,
S4F3_R2,22.47989253,18.48168977,13.30367717,11.41776366,9.740350269,11.06598491,12.00679087,13.84144572,,,,
S4F3_R3,24.9501912,20.40475327,15.19596308,12.50962647,10.6410001,12.08461453,13.12658211,15.33445753,,,,
S4F3_R4,24.85855421,20.13113886,14.72401381,12.25116546,10.59397458,11.99186214,12.99986373,15.23923264,,,,
S4F3_R5,25.05082061,20.60922636,15.30298116,12.95026603,10.80409701,12.22621732,13.26829452,15.38050362,,,,
