SpecimenID,Replicates,S,Structure,F,Filter,Rep_x,ParticleSize_nm,Penetration_pct,DeltaP_Pa,SpecBase,Rep_y
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,60,8.669941,150.43814729999997,S1F3,1
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,80,13.55196,150.43814729999997,S1F3,1
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,150,18.361842,150.43814729999997,S1F3,1
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,250,15.087709,150.43814729999997,S1F3,1
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,300,12.916026,150.43814729999997,S1F3,1
S1F3_R1,S1F31,1,Two-layer knit,3,Glass fiber,1,400,9.324665,150.43814729999997,S1F3,1
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,30,2.189299,160.3526199,S1F3,2
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,40,4.405787,160.3526199,S1F3,2
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,60,11.034399,160.3526199,S1F3,2
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,80,14.792488,160.3526199,S1F3,2
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,150,19.258098,160.3526199,S1F3,2
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,250,15.963876,160.3526199,S1F3,2
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,300,13.616157,160.3526199,S1F3,2
S1F3_R2,S1F32,1,Two-layer knit,3,Glass fiber,2,400,9.981808,160.3526199,S1F3,2
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,30,1.986151,154.95081773333334,S1F3,3
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,40,4.231493,154.95081773333334,S1F3,3
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,60,10.785429,154.95081773333334,S1F3,3
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,80,14.698874,154.95081773333334,S1F3,3
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,150,19.965345,154.95081773333334,S1F3,3
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,250,15.991844,154.95081773333334,S1F3,3
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,300,13.577419,154.95081773333334,S1F3,3
S1F3_R3,S1F33,1,Two-layer knit,3,Glass fiber,3,400,9.881772,154.95081773333334,S1F3,3
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,30,2.237494,163.58226016666666,S1F3,4
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,40,4.203254,163.58226016666666,S1F3,4
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,60,10.302193,163.58226016666666,S1F3,4
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,80,14.213599,163.58226016666666,S1F3,4
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,150,18.539381,163.58226016666666,S1F3,4
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,250,15.719738,163.58226016666666,S1F3,4
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,300,13.84521,163.58226016666666,S1F3,4
S1F3_R4,S1F34,1,Two-layer knit,3,Glass fiber,4,400,10.33881,163.58226016666666,S1F3,4
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,30,1.787422,161.4501418833333,S1F3,5
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,40,3.79577,161.4501418833333,S1F3,5
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,60,9.599162,161.4501418833333,S1F3,5
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,80,13.340171,161.4501418833333,S1F3,5
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,150,17.943916,161.4501418833333,S1F3,5
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,250,15.220659,161.4501418833333,S1F3,5
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,300,13.009808,161.4501418833333,S1F3,5
S1F3_R5,S1F35,1,Two-layer knit,3,Glass fiber,5,400,9.61533,161.4501418833333,S1F3,5
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,30,22.385877,68.43290645,S2F1,1
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,40,31.212306,68.43290645,S2F1,1
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,60,46.232858,68.43290645,S2F1,1
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,80,55.918393,68.43290645,S2F1,1
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,150,68.543675,68.43290645,S2F1,1
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,250,74.268534,68.43290645,S2F1,1
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,300,75.299042,68.43290645,S2F1,1
S2F1_R1,S2F11,2,Four-layer knit,1,Activated carbon,1,400,74.397244,68.43290645,S2F1,1
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,30,21.511021,69.61051566666667,S2F1,2
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,40,30.550304,69.61051566666667,S2F1,2
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,60,45.617471,69.61051566666667,S2F1,2
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,80,53.949528,69.61051566666667,S2F1,2
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,150,70.114701,69.61051566666667,S2F1,2
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,250,74.073955,69.61051566666667,S2F1,2
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,300,76.736239,69.61051566666667,S2F1,2
S2F1_R2,S2F12,2,Four-layer knit,1,Activated carbon,2,400,74.114733,69.61051566666667,S2F1,2
